"slug","bullet1","bullet2","bullet3","bullet4","bullet5"
"tarif-comptable-sas","Pas de grille tarifaire officielle : les écarts vont de 800 à 5 000 €+ par an selon la mission et la structure du cabinet.","Étendue de mission : tenue complète (saisie + déclarations + bilan) vs supervision (saisie en interne, contrôle par l'expert).","Critères tarifaires : volume de transactions, régime de TVA, gestion de la paie, complexité fiscale, conseils stratégiques.","Cabinet en ligne 30-40 % moins cher qu'un cabinet de proximité, intéressant pour les SAS à activité simple et standardisée.",""
"tarif-comptable-eurl","Fourchette indicative : 800 à 2 500 € HT/an, selon la complexité de l'activité et le volume de transactions.","Expert en ligne : 70-150 €/mois ; cabinet traditionnel : 150-250 €+/mois.","Variables clés : nombre d'écritures, régime de TVA, gestion de la paie si embauches, conseil stratégique souhaité.","L'externalisation comptable reste recommandée en EURL pour sécuriser la liasse fiscale, le bilan et l'optimisation de la rémunération du gérant.",""
"tarif-comptable-sarl","Le régime fiscal détermine la complexité : RSI (comptabilité de trésorerie) ou réel normal (comptabilité d'engagement).","Obligations : tenue des livres, inventaire annuel, comptes annuels, dépôt au greffe, conservation 10 ans des pièces.","Tarifs typiques : 800 à 3 000 € HT/an selon volume, embauches, complexité, et contact (proximité ou en ligne).","Le non-dépôt des comptes annuels expose à 3 000 € d'amende en cas de récidive, justifiant un accompagnement professionnel.",""
"comptabilite-entreprise-individuelle","Le niveau d'obligation dépend du régime fiscal : micro (livre des recettes seul), réel simplifié, réel normal.","Depuis mai 2022, le patrimoine personnel de l'entrepreneur individuel est automatiquement séparé du patrimoine professionnel.","En micro-entreprise : pas de bilan ni de compte de résultat, mais pas de déduction des charges réelles.","Au régime réel : tenue d'un journal, grand livre, balance, bilan et liasse fiscale obligatoires.",""
"obligations-du-comptable-envers-son-client","L'expert-comptable est soumis à un code de déontologie : compétence, indépendance, probité, secret professionnel.","La lettre de mission est le contrat qui définit le périmètre exact des obligations du comptable.","Obligations clés : devoir de conseil, vérification de la cohérence des comptes, mise en garde sur les risques fiscaux, alerte sur les difficultés.","En cas de manquement : recours amiable, médiation devant l'Ordre, action judiciaire pour engager la responsabilité civile.",""
"expert-comptable-obligation-de-denonciation","L'expert-comptable n'a pas d'obligation générale de dénonciation : son métier repose sur le secret professionnel (article 226-13 du Code pénal).","Il a en revanche une obligation de signalement à TRACFIN en cas de soupçons de blanchiment ou de financement du terrorisme.","Le signalement TRACFIN est confidentiel : le client ne peut pas en être informé, sous peine de sanctions pénales pour le professionnel.","La violation injustifiée du secret professionnel est passible d'un an d'emprisonnement et de 15 000 € d'amende.",""
"obligation-davoir-un-expert-comptable","Aucune loi n'oblige à recourir à un expert-comptable : le dirigeant peut tenir lui-même sa comptabilité.","Mais la complexité des obligations fiscales (bilan, liasse, TVA) rend l'accompagnement quasi indispensable au régime réel.","Si externalisation : obligation de passer par un professionnel inscrit à l'Ordre, sous peine d'exercice illégal.","Au-delà du légal, l'expert-comptable apporte sécurité, optimisation fiscale et conseil stratégique difficiles à internaliser.",""
"obligation-annexe-comptable","L'annexe complète bilan et compte de résultat : c'est le document narratif qui donne du sens aux chiffres.","Elle est obligatoire pour la plupart des sociétés commerciales, sauf dispense pour les micro-entreprises au sens comptable.","Contenu type : règles d'amortissement, méthodes d'évaluation, engagements hors bilan, faits significatifs, ventilation des dettes.","Une annexe absente ou insuffisante peut justifier le refus de certification des comptes par le commissaire aux comptes.",""
"obligation-comptable-cse","Trois régimes selon les ressources annuelles : ultra-simplifié (< 153 000 €), trésorerie (intermédiaire), engagement (≥ 3,1 M€ ou 50 salariés ETP).","Tous les CSE doivent justifier l'utilisation des deux budgets : fonctionnement et activités sociales et culturelles (ASC).","Les grands CSE doivent désigner un commissaire aux comptes et publier un rapport de gestion annuel.","Les comptes annuels doivent être présentés en assemblée et tenus à disposition des salariés pour garantir la transparence financière.",""
"obligation-comptable-tpe","Obligations communes : factures conformes, compte bancaire pro, conservation des documents 10 ans.","Micro-entreprise : livre des recettes (et registre des achats si vente de marchandises), pas de bilan ni de compte de résultat.","Réel simplifié : comptabilité allégée, bilan, compte de résultat, déclaration TVA simplifiée annuelle.","Réel normal : comptabilité d'engagement complète, déclarations TVA mensuelles, liasse fiscale détaillée.",""
"obligation-comptable-association","Une association loi 1901 n'a pas d'obligation légale de comptabilité complexe par défaut.","Obligations renforcées dès qu'elle reçoit des subventions publiques, exerce une activité économique, emploie des salariés ou dépasse certains seuils.","Au-delà de 153 000 € de subventions ou de certaines tailles : comptes annuels, commissaire aux comptes, publication au JOAFE.","Même sans obligation, tenir une comptabilité minimale (journal, pièces, budget) est essentiel pour la transparence et la pérennité.",""
"obligation-comptable-auto-entrepreneur","L'auto-entrepreneur tient au minimum un livre des recettes : date, client, nature, montant, mode de règlement.","Un registre des achats est obligatoire pour les activités de vente de marchandises ou d'hébergement.","Pas de bilan ni de compte de résultat : la déclaration de chiffre d'affaires (mensuelle ou trimestrielle) suffit.","Obligations annexes : factures conformes, compte bancaire dédié au-delà d'un certain seuil, conservation 10 ans des pièces.",""
"obligation-comptable-micro-entreprise","Quatre piliers : livre des recettes, registre des achats (selon activité), facturation conforme, déclaration de CA.","Le livre des recettes est obligatoire pour tous, sans rature ni modification après enregistrement.","Pas de bilan, pas de compte de résultat : la fiscalité s'applique directement sur le CA déclaré.","Au-delà des seuils ou sur option, basculement au régime réel et obligations comptables complètes.",""
"obligation-comptable-entreprise-individuelle","Les obligations dépendent du régime fiscal et de la nature des revenus (BIC ou BNC).","Micro-entreprise : livre des recettes, registre des achats si vente de marchandises, factures, conservation des pièces.","Régime réel BIC : comptabilité d'engagement, journal, grand livre, inventaire annuel, bilan, compte de résultat.","Régime réel BNC : comptabilité de trésorerie, livre des recettes et dépenses, registre des immobilisations.",""
"obligation-comptable-lmnp","Au régime micro-BIC : obligations légères, livre des recettes et conservation des pièces.","Au régime réel : comptabilité formelle, bilan, compte de résultat, tableau d'amortissements, liasse fiscale.","L'expert-comptable n'est jamais légalement obligatoire mais devient quasi indispensable au régime réel pour gérer amortissements et déficits.","Le régime réel permet souvent d'annuler l'impôt grâce aux amortissements ; à privilégier dès que les charges réelles dépassent l'abattement micro.",""
"obligation-comptable-sci","Les obligations dépendent du régime fiscal : SCI à l'IR (très allégées) ou SCI à l'IS (comptabilité commerciale complète).","SCI à l'IR : comptabilité de trésorerie, livre des recettes/dépenses, justification de la déclaration 2072.","SCI à l'IS : tenue d'une comptabilité d'engagement, bilan, compte de résultat, annexe, liasse fiscale, dépôt au greffe possible.","Le gérant doit rendre compte aux associés au moins une fois par an (article 1856 du Code civil), même en l'absence d'autres obligations.",""
"obligation-comptable-sarl","Toute SARL doit tenir une comptabilité d'engagement : livre-journal, grand livre, inventaire annuel.","À la clôture : trois documents obligatoires (bilan, compte de résultat, annexe), approuvés en AGO et déposés au greffe.","L'expert-comptable n'est pas légalement obligatoire ; le gérant peut tenir la comptabilité s'il en a les compétences.","Conservation des pièces 10 ans, dépôt des comptes sous 7 mois après la clôture sous peine d'amende et d'injonction du tribunal.",""
"obligation-comptable-eurl","L'EURL doit tenir une comptabilité régulière et sincère, comme toute société commerciale.","Trois actions clés : enregistrement chronologique des mouvements, conservation des pièces 10 ans, inventaire annuel.","Livres obligatoires : livre-journal et grand livre ; bilan, compte de résultat et annexe à la clôture.","Dépôt des comptes annuels au greffe ; allègements possibles pour les petites EURL (annexe simplifiée, confidentialité des comptes).",""
"obligation-comptable-sas","Toute SAS doit tenir une comptabilité d'engagement : enregistrement chronologique, livre-journal, grand livre, inventaire annuel.","À la clôture : bilan, compte de résultat, annexe, approuvés par les associés et déposés au greffe.","Les petites SAS bénéficient d'allègements (annexe simplifiée, option de confidentialité des comptes) sous certains seuils.","Conservation des pièces 10 ans ; non-dépôt des comptes : 1 500 € d'amende et possible injonction sous astreinte.",""
"domiciliation-sas","La domiciliation détermine le siège social, point de rattachement administratif, fiscal et juridique de la SAS.","Quatre options principales : domicile du président, local commercial, société de domiciliation, espace de coworking ou pépinière.","Domicile du président : économique mais soumis à conditions (résidence principale, absence d'interdiction du bail ou de la copropriété).","Coût : gratuit (domicile) à 100 €+/mois (société de domiciliation), avec services additionnels selon les offres.",""
"creation-sas-en-ligne","Création SAS jamais entièrement gratuite : ~250 € de frais administratifs incompressibles (annonce légale, greffe).","Trois voies : autonomie via le Guichet Unique INPI, plateforme legaltech, expert-comptable ou avocat (300 à 1 500 €+).","Documents clés : statuts signés, attestation de dépôt du capital, annonce légale, justificatif de siège, pièces des dirigeants.","Délai courant : 1 à 4 semaines selon la qualité du dossier et la charge du greffe.",""
"creation-sasu-en-ligne","La SASU est la version unipersonnelle de la SAS : un seul associé, un président assimilé-salarié si rémunéré.","Étapes : rédaction des statuts, dépôt du capital, annonce légale, dossier sur le Guichet Unique INPI.","Avantages : protection du patrimoine personnel, régime social protecteur, fiscalité IS optimisable via dividendes.","Coût total : ~250 € en autonomie, 200-1 500 € avec accompagnement, selon le niveau de service souhaité.",""
"creation-sarl-en-ligne","La SARL exige au minimum 2 associés (jusqu'à 100), capital minimum de 1 €, responsabilité limitée aux apports.","Étapes : préparation du projet, rédaction des statuts, dépôt du capital, annonce légale, dossier Guichet Unique.","Pour un entrepreneur seul, c'est l'EURL qui s'applique (version unipersonnelle de la SARL).","Coût total typique : 250 € en autonomie, 300 à 1 500 € avec accompagnement legaltech ou expert.",""
"creation-eurl-en-ligne","L'EURL est la SARL avec un seul associé : société commerciale, patrimoine distinct, responsabilité limitée aux apports.","7 étapes : choix du statut, rédaction des statuts, dépôt du capital, annonce légale, constitution du dossier, dépôt INPI, retrait Kbis.","Le gérant associé unique est TNS, contrairement au président de SASU assimilé-salarié.","Frais administratifs : 200-300 € ; délai d'immatriculation : quelques jours à 2-3 semaines selon le greffe.",""
"delai-creation-sasu","Phase de préparation : 2 à 8 semaines (étude de marché, business plan, choix juridiques).","Phase de constitution : 1 à 2 semaines (statuts, dépôt du capital, annonce légale).","Immatriculation : 1 à 7 jours ouvrés selon la charge du greffe et la qualité du dossier.","Délai total réaliste : 1 à 3 mois entre l'idée et la réception du Kbis.",""
"cout-creation-sas","Frais administratifs incompressibles : ~53 € pour l'immatriculation et la DBE, ~150-200 € pour l'annonce légale.","Capital social : minimum 1 €, mais montant à calibrer selon les besoins de financement et la crédibilité.","Accompagnement optionnel : 200-500 € via legaltech, 1 000-2 500 € avec avocat ou expert-comptable.","Budget total réaliste : 250 € en autonomie, 500 à 3 000 € avec accompagnement complet.",""
"creer-une-entreprise-de-construction-de-maison-individuelle","Le statut CMI (Constructeur de Maisons Individuelles, loi 1990) est le seul cadre légal pour vendre une maison clé en main à prix et délai convenus.","Statuts inadaptés : architecte, maître d'œuvre, entreprise générale, auto-entrepreneur — tous illégaux ou insuffisants pour le clé en main.","Garanties obligatoires : garantie de livraison à prix et délais convenus, dommages-ouvrage, responsabilité décennale.","Forme juridique conseillée : SAS ou SARL, avec un capital significatif pour rassurer banques, garants et clients.",""
"aide-femme-creation-entreprise","La Garantie Égalité Femmes (France Active) couvre jusqu'à 80 % d'un prêt bancaire (max 50 000 € garantis), sans caution personnelle.","Prêts d'honneur à taux zéro : Initiative France (~10 000 €) et Réseau Entreprendre (~30-50 000 €), avec accompagnement obligatoire.","Aides régionales et locales : subventions, prêts à taux préférentiel, programmes d'accompagnement spécifiques aux porteuses de projet.","Réseaux d'accompagnement : Bouge ta Boîte, Femmes Business Angels, Action'elles — du mentorat au financement.",""
"creer-une-societe-en-etant-marie","Le régime matrimonial conditionne le sort des parts : communauté légale (parts communes) ou séparation de biens (parts personnelles).","En communauté, le conjoint peut revendiquer la qualité d'associé sur la moitié des parts souscrites avec des biens communs.","Le statut de conjoint collaborateur, salarié ou associé doit être déclaré dès lors que le conjoint participe régulièrement à l'activité.","Pour protéger le patrimoine, certains optent pour un changement de régime matrimonial ou un contrat de mariage avant de créer la société.",""
"creer-son-entreprise-avec-un-dossier-de-surendettement","Un dossier de surendettement n'interdit pas légalement la création d'entreprise tant qu'il n'y a pas d'interdiction de gérer.","Distinguer 4 notions : surendettement, fichage FICP, interdiction bancaire (FCC), interdiction de gérer — seule la dernière empêche la création.","Difficultés pratiques : refus quasi-systématique des prêts bancaires, ouverture de compte pro plus complexe.","Solutions : droit au compte (Banque de France), microcrédit (ADIE), prêts d'honneur, accompagnement par les réseaux dédiés.",""
"cumul-entreprise-individuelle-et-societe","Une personne ne peut détenir qu'une seule EI, mais peut la cumuler avec une société (SARL, SAS, etc.).","Le cumul EI + gérance majoritaire de SARL/EURL est en principe incompatible (TNS unique impossible avec deux activités).","EI + président de SAS/SASU : compatible, le président rémunéré étant assimilé-salarié et l'EI au régime TNS.","Impact fiscal : déclarations distinctes (IR pour l'EI, IS pour la société), plafonds micro à surveiller si une activité y est soumise.",""
"statut-non-sedentaire","L'activité non sédentaire (commerce ambulant) est exercée hors d'un local commercial fixe : marchés, food trucks, foires, tournées.","Carte permettant l'exercice d'une activité commerciale ou artisanale ambulante : obligatoire si l'activité s'exerce hors de la commune du siège.","Demande à effectuer auprès du CFE compétent : valable 4 ans, renouvelable, document à présenter en cas de contrôle.","Cumul possible avec une activité sédentaire (boutique + tournées), avec déclaration adaptée et autorisations municipales pour chaque emplacement.",""
"sarl-exemple","Une SARL est une société commerciale composée de 2 à 100 associés, à responsabilité limitée aux apports.","Les statuts définissent l'identité (dénomination, objet, siège, durée), le capital, les associés, la gérance, les règles de décision.","Clauses fréquentes : agrément en cas de cession de parts, modalités de transmission en cas de décès, règles de majorité renforcées.","Un modèle est utile pour comprendre la structure mais doit toujours être personnalisé pour refléter le projet et les rapports entre associés.",""
"entreprise-individuelle-plusieurs-activites","Une seule EI par personne, mais plusieurs activités possibles au sein de cette même structure.","Activité principale : celle qui génère le plus de chiffre d'affaires ; elle détermine le régime fiscal et social applicable.","En micro-entreprise, les plafonds globaux et par activité doivent être respectés (vente, services, BIC, BNC).","Conséquences à anticiper : déclaration au Guichet Unique, mise à jour du SIRET et du code APE, respect des règles de chaque activité.",""
"quel-statut-pour-etre-salarie-de-son-entreprise","Le cumul mandat social + contrat de travail n'est possible que pour certains dirigeants et sous conditions strictes.","Conditions cumulatives : fonctions techniques distinctes du mandat, lien de subordination réel, rémunération séparée, contrat antérieur ou postérieur valide.","Impossibilité absolue pour un gérant majoritaire de SARL ou un président de SASU détenant 100 % du capital (pas de subordination possible).","Avantages recherchés : assurance chômage, protection sociale étendue, sécurité financière du salaire fixe.",""
"quel-statut-pour-payer-le-moins-de-charge","Pour CA modéré et peu de frais : la micro-entreprise reste imbattable grâce à son abattement forfaitaire et ses cotisations simplifiées.","Pour des charges réelles élevées : l'EURL à l'IS optimise les cotisations TNS (~45 %) tout en déduisant 100 % des charges.","Pour une protection sociale maximale et la rémunération en dividendes : la SASU, malgré des cotisations plus élevées sur salaire (~75-80 %).","Le bon choix dépend du CA prévisionnel, du niveau de charges, du besoin de protection sociale et de la stratégie de rémunération.",""
"quel-statut-apres-auto-entrepreneur","Trois raisons fréquentes de quitter la micro : dépassement des plafonds, charges réelles supérieures à l'abattement, besoin de structurer.","EI au régime réel : continuité simple, déduction des charges réelles, mais pas de personnalité morale ni d'associés possibles.","EURL : société unipersonnelle, gérant TNS, fiscalité IR ou IS au choix, structuration intermédiaire et coût modéré.","SASU : société unipersonnelle, président assimilé-salarié, IS par défaut, structure attractive pour la croissance et la rémunération en dividendes.",""
"avantage-statut-artiste-auteur","Le statut artiste-auteur n'est pas une forme juridique mais un régime social et fiscal spécifique aux créateurs d'œuvres originales.","Avantages sociaux : cotisations calculées uniquement sur les revenus d'auteur, protection sociale alignée sur le régime général, accès à la retraite.","Avantages fiscaux : abattements sur les revenus, possibilité d'opter pour le régime spécial BNC ou pour la déclaration en traitements et salaires.","Aides spécifiques : bourses (CNL, CNAP), résidences d'artistes, dispositifs régionaux et programmes de soutien européens.",""
"auteur-photographe-statut","Le statut d'auteur photographe est un régime social et fiscal réservé aux photographes vivant de la cession de droits d'auteur sur des œuvres originales.","Vente de tirages d'art : limités à 30 exemplaires numérotés et signés ; cession de droits : licence d'exploitation à un client.","Si l'activité est essentiellement de la commande (mariage, portrait, événement), c'est le statut d'artisan photographe qui s'impose.","Le mauvais choix de statut expose à un redressement URSSAF : c'est la nature réelle de l'activité qui prime, pas la dénomination.",""
"sarl-ou-entreprise-individuelle","L'entreprise individuelle : simplicité maximale, pas de personnalité morale, patrimoine professionnel séparé du personnel depuis 2022.","La SARL : société commerciale avec personnalité morale, responsabilité limitée aux apports, capital minimum 1 €, à partir de 2 associés.","Fiscalité : EI à l'IR par défaut (option IS possible), SARL à l'IS par défaut (option IR temporaire possible).","Choix : EI pour démarrer seul simplement, SARL pour s'associer, structurer, lever des fonds ou protéger plus solidement le patrimoine.",""
